name,parsed,rows,average
lib/corpus/n0Live-BrickGame.jar,false
lib/corpus/2yangk23-GridGame.jar,true,3,1.6666666
lib/corpus/AlanFoster-Java-Game-Engine.jar,true,9,1.0
lib/corpus/AlexGreulich-MG2Game.jar,true,1,2.0
final result:13,1.2307693
